formA	classA	formB	classB	shift
mhg:1_6_4_3_7_11_5_2_9_10_8_0	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:2_9_10_8_0_1_6_4_3_7_11_5	mhg:5_11_2_8_11_7_2_1_8_8_6	7
mhg:1_6_4_3_7_11_5_2_9_10_8_0	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:10_8_0_1_6_4_3_7_11_5_2_9	mhg:2_8_11_7_2_1_8_8_6_3_5	9
mhg:1_6_4_3_7_11_5_2_9_10_8_0	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:6_4_3_7_11_5_2_9_10_8_0_1	mhg:1_4_10_1_7_9_6_4_4_11_10	1
mhg:1_6_4_3_7_11_5_2_9_10_8_0	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:4_3_7_11_5_2_9_10_8_0_1_6	mhg:1_8_8_6_3_5_11_2_8_11_7	2
mhg:1_6_4_3_7_11_5_2_9_10_8_0	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:7_11_5_2_9_10_8_0_1_6_4_3	mhg:1_2_7_11_8_2_11_5_3_6_8	4
mhg:1_6_4_3_7_11_5_2_9_10_8_0	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:3_7_11_5_2_9_10_8_0_1_6_4	mhg:2_7_11_8_2_11_5_3_6_8_8	3
mhg:2_10_0_11_4_7_1_9_5_6_8_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:1_9_5_6_8_3_2_10_0_11_4_7	mhg:3_5_11_2_8_11_7_2_1_8_8	6
mhg:2_10_0_11_4_7_1_9_5_6_8_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:4_7_1_9_5_6_8_3_2_10_0_11	mhg:1_10_4_1_5_10_11_4_4_6_9	4
mhg:2_10_0_11_4_7_1_9_5_6_8_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:10_0_11_4_7_1_9_5_6_8_3_2	mhg:1_5_10_11_4_4_6_9_7_1_10	1
mhg:2_10_0_11_4_7_1_9_5_6_8_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:0_11_4_7_1_9_5_6_8_3_2_10	mhg:1_7_9_6_4_4_11_10_5_1_4	2
mhg:2_10_0_11_4_7_1_9_5_6_8_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:9_5_6_8_3_2_10_0_11_4_7_1	mhg:4_11_10_5_1_4_10_1_7_9_6	7
mhg:2_10_0_11_4_7_1_9_5_6_8_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:7_1_9_5_6_8_3_2_10_0_11_4	mhg:5_11_2_8_11_7_2_1_8_8_6	5
mhg:2_10_0_11_4_7_1_9_5_6_8_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:11_4_7_1_9_5_6_8_3_2_10_0	mhg:2_8_11_7_2_1_8_8_6_3_5	3
mhg:2_10_0_11_4_7_1_9_5_6_8_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:3_2_10_0_11_4_7_1_9_5_6_8	mhg:1_4_10_1_7_9_6_4_4_11_10	11
mhg:2_10_0_11_4_7_1_9_5_6_8_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:8_3_2_10_0_11_4_7_1_9_5_6	mhg:1_8_8_6_3_5_11_2_8_11_7	10
mhg:2_10_0_11_4_7_1_9_5_6_8_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:5_6_8_3_2_10_0_11_4_7_1_9	mhg:1_2_7_11_8_2_11_5_3_6_8	8
mhg:2_10_0_11_4_7_1_9_5_6_8_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:6_8_3_2_10_0_11_4_7_1_9_5	mhg:2_7_11_8_2_11_5_3_6_8_8	9
mhg:4_9_7_6_10_2_8_5_0_1_11_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:8_5_0_1_11_3_4_9_7_6_10_2	mhg:3_5_11_2_8_11_7_2_1_8_8	6
mhg:4_9_7_6_10_2_8_5_0_1_11_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:0_1_11_3_4_9_7_6_10_2_8_5	mhg:1_10_4_1_5_10_11_4_4_6_9	8
mhg:4_9_7_6_10_2_8_5_0_1_11_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:3_4_9_7_6_10_2_8_5_0_1_11	mhg:1_5_10_11_4_4_6_9_7_1_10	11
mhg:4_9_7_6_10_2_8_5_0_1_11_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:11_3_4_9_7_6_10_2_8_5_0_1	mhg:1_7_9_6_4_4_11_10_5_1_4	10
mhg:4_9_7_6_10_2_8_5_0_1_11_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:2_8_5_0_1_11_3_4_9_7_6_10	mhg:4_11_10_5_1_4_10_1_7_9_6	5
mhg:4_9_7_6_10_2_8_5_0_1_11_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:5_0_1_11_3_4_9_7_6_10_2_8	mhg:5_11_2_8_11_7_2_1_8_8_6	7
mhg:4_9_7_6_10_2_8_5_0_1_11_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:1_11_3_4_9_7_6_10_2_8_5_0	mhg:2_8_11_7_2_1_8_8_6_3_5	9
mhg:4_9_7_6_10_2_8_5_0_1_11_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:9_7_6_10_2_8_5_0_1_11_3_4	mhg:1_4_10_1_7_9_6_4_4_11_10	1
mhg:4_9_7_6_10_2_8_5_0_1_11_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:7_6_10_2_8_5_0_1_11_3_4_9	mhg:1_8_8_6_3_5_11_2_8_11_7	2
mhg:4_9_7_6_10_2_8_5_0_1_11_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:10_2_8_5_0_1_11_3_4_9_7_6	mhg:1_2_7_11_8_2_11_5_3_6_8	4
mhg:4_9_7_6_10_2_8_5_0_1_11_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:6_10_2_8_5_0_1_11_3_4_9_7	mhg:2_7_11_8_2_11_5_3_6_8_8	3
mhg:1_8_10_11_7_3_9_0_5_4_6_2	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:9_0_5_4_6_2_1_8_10_11_7_3	mhg:3_5_11_2_8_11_7_2_1_8_8	6
mhg:1_8_10_11_7_3_9_0_5_4_6_2	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:5_4_6_2_1_8_10_11_7_3_9_0	mhg:1_10_4_1_5_10_11_4_4_6_9	8
mhg:1_8_10_11_7_3_9_0_5_4_6_2	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:2_1_8_10_11_7_3_9_0_5_4_6	mhg:1_5_10_11_4_4_6_9_7_1_10	11
mhg:1_8_10_11_7_3_9_0_5_4_6_2	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:6_2_1_8_10_11_7_3_9_0_5_4	mhg:1_7_9_6_4_4_11_10_5_1_4	10
mhg:1_8_10_11_7_3_9_0_5_4_6_2	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:3_9_0_5_4_6_2_1_8_10_11_7	mhg:4_11_10_5_1_4_10_1_7_9_6	5
mhg:1_8_10_11_7_3_9_0_5_4_6_2	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:0_5_4_6_2_1_8_10_11_7_3_9	mhg:5_11_2_8_11_7_2_1_8_8_6	7
mhg:1_8_10_11_7_3_9_0_5_4_6_2	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:4_6_2_1_8_10_11_7_3_9_0_5	mhg:2_8_11_7_2_1_8_8_6_3_5	9
mhg:1_8_10_11_7_3_9_0_5_4_6_2	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:8_10_11_7_3_9_0_5_4_6_2_1	mhg:1_4_10_1_7_9_6_4_4_11_10	1
mhg:1_8_10_11_7_3_9_0_5_4_6_2	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:10_11_7_3_9_0_5_4_6_2_1_8	mhg:1_8_8_6_3_5_11_2_8_11_7	2
mhg:1_8_10_11_7_3_9_0_5_4_6_2	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:7_3_9_0_5_4_6_2_1_8_10_11	mhg:1_2_7_11_8_2_11_5_3_6_8	4
