old_local,new_local,phase2_flag
0_10_1_9_11_7_3_5_4_2_6_8,0_10_1_9_11_7_3_5_4_2_6_8,0
0_10_1_9_2_5_6_4_7_3_8_11,0_10_1_9_2_5_6_4_7_3_8_11,0
0_10_2_11_1_3_4_7_6_8_5_9,0_10_2_11_1_3_4_7_6_8_5_9,0
0_10_2_11_3_1_4_6_5_8_7_9,0_10_2_11_3_1_4_6_5_8_7_9,0
0_10_2_1_11_4_6_5_3_8_9_7,0_10_2_1_11_4_6_5_3_8_9_7,0
0_10_2_1_5_11_9_4_8_3_7_6,0_10_2_1_5_11_9_4_8_3_7_6,0
0_10_2_1_5_8_6_3_4_11_7_9,0_10_2_1_5_8_6_3_4_11_7_9,0
0_10_2_1_6_8_7_11_9_3_4_5,0_10_2_1_6_8_7_11_9_3_4_5,0
0_10_2_1_7_6_8_9_5_4_11_3,0_10_2_1_7_6_8_9_5_4_11_3,0
0_10_2_1_8_6_7_3_11_5_4_9,0_10_2_1_8_6_7_3_11_5_4_9,0
0_10_2_3_1_11_4_6_9_8_5_7,0_10_2_3_1_11_4_6_9_8_5_7,0
0_10_2_3_1_11_6_8_5_7_9_4,0_10_2_3_1_11_6_8_5_7_9_4,0
0_10_2_3_1_4_5_9_11_7_6_8,0_10_2_3_1_4_5_9_11_7_6_8,0
0_10_2_3_1_5_6_4_8_9_7_11,0_10_2_3_1_5_6_4_8_9_7_11,0
0_10_2_3_4_1_11_7_8_9_6_5,0_10_2_3_4_1_11_7_8_9_6_5,0
0_10_2_3_5_7_1_11_9_8_4_6,0_10_2_3_5_7_1_11_9_8_4_6,0
0_10_2_3_6_7_11_8_5_1_4_9,0_10_2_3_6_7_11_8_5_1_4_9,0
0_10_2_4_5_3_9_1_6_8_11_7,0_10_2_4_5_3_9_1_6_8_11_7,0
0_10_2_4_6_1_9_11_7_5_3_8,0_10_2_4_6_1_9_11_7_5_3_8,0
0_10_2_4_8_6_11_1_5_3_7_9,0_10_2_4_8_6_11_1_5_3_7_9,0
0_10_2_4_8_6_3_5_1_11_7_9,0_10_2_4_8_6_3_5_1_11_7_9,0
0_10_2_4_8_6_9_11_7_5_1_3,0_10_2_4_8_6_9_11_7_5_1_3,0
0_10_2_5_3_4_1_8_9_6_7_11,0_10_2_5_3_4_1_8_9_6_7_11,0
0_10_2_5_4_7_1_11_3_9_8_6,0_10_2_5_4_7_1_11_3_9_8_6,0
0_10_2_5_7_11_9_3_1_8_6_4,0_10_2_5_7_11_9_3_1_8_6_4,0
0_10_2_5_8_4_6_7_1_3_11_9,0_10_2_5_8_4_6_7_1_3_11_9,0
0_10_2_5_8_6_1_9_7_11_4_3,0_10_2_5_8_6_1_9_7_11_4_3,0
0_10_2_6_4_1_11_9_5_7_3_8,0_10_2_6_4_1_11_9_5_7_3_8,0
0_10_2_6_4_5_7_3_1_9_11_8,0_10_2_6_4_5_7_3_1_9_11_8,0
0_10_2_6_8_4_1_9_11_3_7_5,0_10_2_6_8_4_1_9_11_3_7_5,0
0_10_2_6_9_4_3_8_5_1_7_11,0_10_2_6_9_4_3_8_5_1_7_11,0
0_10_2_7_3_6_4_8_1_9_11_5,0_10_2_7_3_6_4_8_1_9_11_5,0
0_10_2_7_5_4_9_1_11_3_8_6,0_10_2_7_5_4_9_1_11_3_8_6,0
0_10_2_7_5_8_11_1_9_4_6_3,0_10_2_7_5_8_11_1_9_4_6_3,0
0_10_2_7_6_9_11_8_4_5_1_3,0_10_2_7_6_9_11_8_4_5_1_3,0
0_10_2_7_9_5_11_3_1_8_4_6,0_10_2_7_9_5_11_3_1_8_4_6,0
0_10_2_7_9_8_4_1_3_6_5_11,0_10_2_7_9_8_4_1_3_6_5_11,0
0_10_2_8_1_4_11_5_7_9_6_3,0_10_2_8_1_4_11_5_7_9_6_3,0
0_10_2_8_4_6_11_3_1_7_9_5,0_10_2_8_4_6_11_3_1_7_9_5,0
0_10_2_8_4_6_5_3_7_1_9_11,0_10_2_8_4_6_5_3_7_1_9_11,0
0_10_2_8_4_6_7_5_9_3_11_1,0_10_2_8_4_6_7_5_9_3_11_1,0
0_10_2_8_7_9_6_5_11_4_3_1,0_10_2_8_7_9_6_5_11_4_3_1,0
0_10_2_9_7_5_1_3_11_4_6_8,0_10_2_9_7_5_1_3_11_4_6_8,0
0_10_2_9_7_5_6_8_11_1_3_4,0_10_2_9_7_5_6_8_11_1_3_4,0
0_10_2_9_8_1_5_6_11_3_7_4,0_10_2_9_8_1_5_6_11_3_7_4,0
0_10_3_11_8_7_1_2_5_9_4_6,0_10_3_11_8_7_1_2_5_9_4_6,0
0_10_3_11_9_6_4_5_7_2_1_8,0_10_3_11_9_6_4_5_7_2_1_8,0
0_10_3_1_4_6_7_5_2_11_8_9,0_10_3_1_4_6_7_5_2_11_8_9,0
0_10_3_1_7_9_8_6_2_4_5_11,0_10_3_1_7_9_8_6_2_4_5_11,0
0_10_3_1_8_9_6_11_2_4_7_5,0_10_3_1_8_9_6_11_2_4_7_5,0
0_10_3_2_5_7_4_6_11_8_9_1,0_10_3_2_5_7_4_6_11_8_9_1,0
0_10_3_2_6_7_11_1_8_9_5_4,0_10_3_2_6_7_11_1_8_9_5_4,0
0_10_3_2_7_5_11_1_8_9_4_6,0_10_3_2_7_5_11_1_8_9_4_6,0
0_10_3_4_11_6_8_9_1_2_5_7,0_10_3_4_11_6_8_9_1_2_5_7,0
0_10_3_4_2_7_6_9_8_11_1_5,0_10_3_4_2_7_6_9_8_11_1_5,0
0_10_3_4_2_9_1_7_11_8_5_6,0_10_3_4_2_9_1_7_11_8_5_6,0
0_10_3_4_6_8_7_5_11_2_9_1,0_10_3_4_6_8_7_5_11_2_9_1,0
0_10_3_4_9_7_6_11_5_1_2_8,0_10_3_4_9_7_6_11_5_1_2_8,0
0_10_3_5_11_1_7_2_6_4_8_9,0_10_3_5_11_1_7_2_6_4_8_9,0
0_10_3_5_1_2_11_4_8_9_7_6,0_10_3_5_1_2_11_4_8_9_7_6,0
0_10_3_5_7_8_6_4_9_11_1_2,0_10_3_5_7_8_6_4_9_11_1_2,0
0_10_3_5_8_11_1_6_4_9_7_2,0_10_3_5_8_11_1_6_4_9_7_2,0
0_10_3_5_8_6_1_4_11_9_2_7,0_10_3_5_8_6_1_4_11_9_2_7,0
0_10_3_6_11_4_2_7_8_1_9_5,0_10_3_6_11_4_2_7_8_1_9_5,0
0_10_3_6_11_8_2_9_5_7_1_4,0_10_3_6_11_8_2_9_5_7_1_4,0
0_10_3_6_2_1_11_9_5_8_7_4,0_10_3_6_2_1_11_9_5_8_7_4,0
